[2026-03-16 06:56:10] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-03-16 06:58:36] 404 Page Not Found: /assets/images/no%20bg%20logo.png (IP: ::1)
[2026-03-16 06:58:36] 404 Page Not Found: /favicon.ico (IP: ::1)
[2026-03-16 06:58:45] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-03-16 06:58:55] 404 Page Not Found: /assets/images/no%20bg%20logo.png (IP: ::1)
[2026-03-16 06:58:55] 404 Page Not Found: /favicon.ico (IP: ::1)
[2026-03-16 06:59:48] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-03-16 06:59:56] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-03-16 06:59:56] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-03-16 06:59:56] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-03-16 06:59:56] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-03-16 07:00:38] 404 Page Not Found: /assets/images/no%20bg%20logo.png (IP: ::1)
[2026-03-16 07:00:46] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-03-16 07:02:03] 404 Page Not Found: /assets/images/no%20bg%20logo.png (IP: ::1)
[2026-03-16 07:02:12] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-03-16 07:02:16] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-03-16 07:02:18] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-03-16 07:04:31] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-03-16 07:04:31] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-03-16 07:07:09] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-03-16 07:07:17] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-03-16 07:08:36] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-03-16 07:13:49] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-03-16 07:14:57] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-03-16 07:15:12] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-03-16 07:16:58] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-03-16 07:17:30] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-03-16 07:18:59] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-03-16 07:19:01] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-03-16 07:32:41] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-03-16 07:32:45] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-03-16 07:32:45] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-03-16 07:32:45] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-03-16 07:32:46] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/css/user-booking.css (IP: ::1)
[2026-03-16 07:36:07] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-03-16 07:36:25] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-03-16 07:36:30] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-03-16 07:37:41] 404 Page Not Found: /assets/images/no%20bg%20logo.png (IP: ::1)
[2026-03-16 07:37:41] 404 Page Not Found: /favicon.ico (IP: ::1)
[2026-03-16 07:57:04] 404 Page Not Found: /api/bookings_list?recent=1 (IP: ::1)
[2026-03-16 07:57:04] 404 Page Not Found: /api/bookings_list (IP: ::1)
[2026-03-16 07:57:04] 404 Page Not Found: /favicon.ico (IP: ::1)
[2026-03-16 07:57:40] 404 Page Not Found: /api/bookings_list?recent=1 (IP: ::1)
[2026-03-16 07:57:40] 404 Page Not Found: /api/bookings_list (IP: ::1)
[2026-03-16 08:00:46] 404 Page Not Found: /api/bookings_list?recent=1 (IP: ::1)
[2026-03-16 08:00:46] 404 Page Not Found: /api/bookings_list (IP: ::1)
[2026-03-16 08:00:48] 404 Page Not Found: /api/bookings_list (IP: ::1)
[2026-03-16 08:00:48] 404 Page Not Found: /api/packages_list (IP: ::1)
[2026-03-16 08:00:48] 404 Page Not Found: /api/clients_list (IP: ::1)
[2026-03-16 08:00:49] 404 Page Not Found: /api/bookings_list?recent=1 (IP: ::1)
[2026-03-16 08:00:49] 404 Page Not Found: /api/bookings_list (IP: ::1)
[2026-03-16 08:00:50] 404 Page Not Found: /api/bookings_list (IP: ::1)
[2026-03-16 08:00:50] 404 Page Not Found: /assets/images/no%20bg%20logo.png (IP: ::1)
[2026-03-16 08:00:57] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-03-16 08:01:04] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-03-16 08:01:04] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-03-16 08:01:04] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-03-16 08:01:04] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-03-16 08:01:08] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-03-16 08:01:12] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-03-16 08:01:13] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-03-16 08:01:13] 405 Method Not Allowed: /api/login (IP: ::1)
[2026-03-16 08:01:14] 404 Page Not Found: /assets/images/no%20bg%20logo.png (IP: ::1)
[2026-03-16 08:01:49] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-03-16 08:01:53] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
[2026-03-16 08:01:55] 404 Page Not Found: /Web-CHT_TravelAndTours/assets/images/placeholder.jpg (IP: ::1)
